Year,Faculty,Programme,Job Type,Industry Type,Career Choice Rank,Was this job in the industry of your choice?,Salary range,Estimated Salary
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,Others,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Audit/Accounting,Accounting / Tax Services,3rd and above,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Audit/Accounting,Accounting / Tax Services,2nd,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Advertising/Marketing/PR,2nd,Yes,"RM1,501 - RM2,500",2000
2020,COMMUNICATION,MEDIA STUDIES,Brand Executive,Advertising/Marketing/PR,1st,Yes,"RM2,501 - RM3,500",3000
2020,COMMUNICATION,PUBLIC RELATIONS,Brand Executive,Advertising/Marketing/PR,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Data Entry / Processing,Advertising/Marketing/PR,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",HOSPITALITY/TOURISM MANAGEMENT,Digital Marketing,Advertising/Marketing/PR,1st,Yes,"RM2,501 - RM3,500",3000
2020,COMMUNICATION,MEDIA STUDIES,Digital Marketing,Advertising/Marketing/PR,Others,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Executive,Advertising/Marketing/PR,Others,Related,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Advertising/Marketing/PR,2nd,Yes,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,PR/Social Media Executive,Advertising/Marketing/PR,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Sales/Marketing,Advertising/Marketing/PR,1st,Yes,"RM3,501 - RM4,500",4000
2020,COMMUNICATION,MEDIA STUDIES,Sales/Marketing,Advertising/Marketing/PR,1st,No,"RM1,501 - RM2,500",2000
2020,COMPUTING,INFORMATION TECHNOLOGY,Software Developer,Advertising/Marketing/PR,1st,Yes,"RM3,501 - RM4,500",4000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Writer,Advertising/Marketing/PR,3rd and above,No,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Administrator,Agriculture,3rd and above,Related,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Assistant Manager,Agriculture,1st,Yes,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ENTREPRENEURSHIP,Entrepreneur,Agriculture,1st,Yes,"Above RM5,500",6000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",HOSPITALITY/TOURISM MANAGEMENT,Researcher,Agriculture,2nd,Related,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Agriculture,2nd,Yes,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Self-Employed,Agriculture,2nd,No,"Below RM1,500",1000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Executive,Travel & Hospitality,1st,No,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Audit/Accounting,Media/Communication,1st,Yes,"Above RM5,500",6000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Digital Marketing,Media/Communication,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Administrator,Automotive,Others,No,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Administrator,Automotive,Others,No,"Below RM1,500",1000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Audit/Accounting,Automotive,Others,Yes,"Below RM1,500",1000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Operations Executive,Automotive,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Assistant Manager,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Banking/Finance,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Banking/Finance Executive,Banking/Finance,3rd and above,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Banking/Finance Executive,Banking/Finance,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Banking/Finance Executive,Banking/Finance,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Banking/Finance Executive,Banking/Finance,3rd and above,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MANAGEMENT,Banking/Finance Executive,Banking/Finance,3rd and above,No,"Below RM1,500",1000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Banking/Finance Executive,Banking/Finance,3rd and above,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Banking/Finance Executive,Banking/Finance,2nd,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Customer Service,Banking/Finance,Others,No,"RM3,501 - RM4,500",4000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Customer Service,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Customer Service,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Executive,Banking/Finance,2nd,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Executive,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Financial/Life Planning,Banking/Finance,3rd and above,Related,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Financial/Life Planning,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Fraud/Risk/Compliance Analyst,Banking/Finance,3rd and above,Related,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Fraud/Risk/Compliance Analyst,Banking/Finance,2nd,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Fraud/Risk/Compliance Analyst,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Intern,Banking/Finance,2nd,Yes,"Below RM1,500",1000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Management Trainee,Banking/Finance,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Management Trainee,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Management Trainee,Banking/Finance,2nd,Related,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Management Trainee,Banking/Finance,1st,Yes,"RM3,501 - RM4,500",4000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Management Trainee,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Management Trainee,Banking/Finance,1st,Yes,"RM3,501 - RM4,500",4000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Management Trainee,Banking/Finance,1st,Yes,"RM4,501 - RM5,500",5000
2020,COMMUNICATION,MEDIA STUDIES,Management Trainee,Banking/Finance,3rd and above,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Manager,Banking/Finance,2nd,Yes,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Sales/Marketing,Banking/Finance,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Sales/Marketing,Banking/Finance,1st,Related,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Banking/Finance,2nd,Yes,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGICAL SCIENCE,Sales/Marketing,Banking/Finance,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Banking/Finance Executive,Biotech/Waste Management,3rd and above,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Business Services,1st,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Business Services,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Audit/Accounting,Business Services,3rd and above,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",HOSPITALITY/TOURISM MANAGEMENT,Customer Service,Business Services,3rd and above,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Customer Service,Business Services,1st,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Customer Service,Business Services,1st,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Customer Service,Business Services,Others,No,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Customer Service,Business Services,1st,Yes,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Customer Service,Business Services,1st,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Customer Service,Business Services,3rd and above,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Digital Marketing,Business Services,1st,No,"Above RM5,500",6000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Executive,Business Services,3rd and above,No,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Fraud/Risk/Compliance Analyst,Business Services,2nd,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,HR Executive,Business Services,2nd,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,HR Executive,Business Services,3rd and above,Yes,"Below RM1,500",1000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MANAGEMENT,HR Executive,Business Services,2nd,No,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Business Services,2nd,Related,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Business Services,1st,Yes,"RM3,501 - RM4,500",4000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Business Services,2nd,No,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,IT Technician/Support,Business Services,Others,No,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Operations Executive,Business Services,Others,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MANAGEMENT,Sales/Marketing,Business Services,Others,Related,"RM3,501 - RM4,500",4000
2020,COMPUTING,INFORMATION TECHNOLOGY,Software Developer,Business Services,1st,Related,"Above RM5,500",6000
2020,COMPUTING,BUSINESS INFORMATION MANAGEMENT,Administrator,Construction/Building/Engineering,3rd and above,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Administrator,Construction/Building/Engineering,Others,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Administrator,Construction/Building/Engineering,3rd and above,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Administrator,Construction/Building/Engineering,1st,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Construction/Building/Engineering,Others,No,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Audit/Accounting,Construction/Building/Engineering,2nd,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Banking/Finance Executive,Construction/Building/Engineering,2nd,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Executive,Construction/Building/Engineering,1st,Yes,"Above RM5,500",6000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Construction/Building/Engineering,1st,Yes,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Construction/Building/Engineering,3rd and above,Related,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Construction/Building/Engineering,3rd and above,Related,"Below RM1,500",1000
2021,COMPUTING,BUSINESS INFORMATION MANAGEMENT,Manager,Construction/Building/Engineering,3rd and above,Related,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Construction/Building/Engineering,2nd,Yes,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Construction/Building/Engineering,3rd and above,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Secretary,Construction/Building/Engineering,Others,No,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Psychological Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Psychological Services,1st,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Psychological Services,1st,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Psychological Services,2nd,Related,"RM2,501 - RM3,500",3000
2020,COMPUTING,INFORMATION TECHNOLOGY,Administrator,E-Commerce,3rd and above,No,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Analyst,E-Commerce,1st,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,E-Commerce,3rd and above,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Business Development,E-Commerce,1st,Related,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Business Development,E-Commerce,2nd,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Business Development,E-Commerce,2nd,Related,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Business Development,E-Commerce,2nd,Related,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Business Development,E-Commerce,2nd,No,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Customer Service,E-Commerce,Others,No,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Customer Service,E-Commerce,2nd,No,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Customer Service,E-Commerce,Others,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Customer Service,E-Commerce,3rd and above,Related,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Fraud/Risk/Compliance Analyst,E-Commerce,2nd,No,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,E-Commerce,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Sales/Marketing,E-Commerce,2nd,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Sales/Marketing,E-Commerce,1st,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,E-Commerce,1st,Yes,"RM3,501 - RM4,500",4000
2021,COMMUNICATION,MARKETING COMMUNICATION,Sales/Marketing,E-Commerce,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Administrator,Education,2nd,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Education,3rd and above,Related,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Administrator,Education,3rd and above,Yes,"RM1,501 - RM2,500",2000
2021,COMMUNICATION,PUBLIC RELATIONS,Administrator,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Advisor/Counselor,Education,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Business Development,Education,3rd and above,No,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Business Development,Education,1st,Yes,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Executive,Education,2nd,No,"RM2,501 - RM3,500",3000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Headmistress,Education,2nd,No,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Headmistress,Education,2nd,Yes,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Headmistress,Education,1st,Yes,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Headmistress,Education,1st,Yes,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Headmistress,Education,Others,Related,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Education,3rd and above,Yes,"RM2,501 - RM3,500",3000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Operations Executive,Education,1st,Yes,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Operations Executive,Education,2nd,Yes,"RM3,501 - RM4,500",4000
2020,COMPUTING,INFORMATION TECHNOLOGY,Recruitment Consultant,Education,2nd,Yes,"RM1,501 - RM2,500",2000
2021,COMPUTING,BUSINESS INFORMATION MANAGEMENT,Teacher,Education,1st,Yes,"RM2,501 - RM3,500",3000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Related,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,2nd,Related,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"Below RM1,500",1000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Related,"RM1,501 - RM2,500",2000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM2,501 - RM3,500",3000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Related,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM2,501 - RM3,500",3000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,2nd,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,2nd,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM2,501 - RM3,500",3000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM2,501 - RM3,500",3000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"Below RM1,500",1000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGICAL SCIENCE,Teacher,Education,3rd and above,No,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGICAL SCIENCE,teacher,Education,3rd and above,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Teacher,Education,3rd and above,Related,"RM2,501 - RM3,500",3000
