instant,dteday,season,yr,mnth,hr,holiday,weather,temp,humidity,windspeed,weekdayname,workday,usertype,numrentals
39,1/2/2011,winter,2011,1,15,no,light rain,24,81,11,Sunday,no,casual,19
39,1/2/2011,winter,2011,1,15,no,light rain,24,81,11,Sunday,no,registered,55
40,1/2/2011,winter,2011,1,16,no,light rain,24,71,11,Sunday,no,casual,9
40,1/2/2011,winter,2011,1,16,no,light rain,24,71,11,Sunday,no,registered,67
41,1/2/2011,winter,2011,1,17,no,clear,24,57,13,Sunday,no,casual,7
41,1/2/2011,winter,2011,1,17,no,clear,24,57,13,Sunday,no,registered,58
42,1/2/2011,winter,2011,1,18,no,misty,24.9,46,22,Sunday,no,casual,10
42,1/2/2011,winter,2011,1,18,no,misty,24.9,46,22,Sunday,no,registered,43
43,1/2/2011,winter,2011,1,19,no,clear,23,42,30,Sunday,no,casual,1
43,1/2/2011,winter,2011,1,19,no,clear,23,42,30,Sunday,no,registered,29
44,1/2/2011,winter,2011,1,20,no,clear,22.1,39,24,Sunday,no,casual,5
44,1/2/2011,winter,2011,1,20,no,clear,22.1,39,24,Sunday,no,registered,17
45,1/2/2011,winter,2011,1,21,no,clear,20.2,44,22,Sunday,no,casual,11
45,1/2/2011,winter,2011,1,21,no,clear,20.2,44,22,Sunday,no,registered,20
46,1/2/2011,winter,2011,1,22,no,clear,19.3,44,20,Sunday,no,casual,0
46,1/2/2011,winter,2011,1,22,no,clear,19.3,44,20,Sunday,no,registered,9
47,1/2/2011,winter,2011,1,23,no,clear,18.3,47,11,Sunday,no,casual,0
47,1/2/2011,winter,2011,1,23,no,clear,18.3,47,11,Sunday,no,registered,8
48,1/3/2011,winter,2011,1,0,no,clear,18.3,44,24,Monday,yes,casual,0
48,1/3/2011,winter,2011,1,0,no,clear,18.3,44,24,Monday,yes,registered,5
49,1/3/2011,winter,2011,1,1,no,clear,17.4,44,28,Monday,yes,casual,0
49,1/3/2011,winter,2011,1,1,no,clear,17.4,44,28,Monday,yes,registered,2
50,1/3/2011,winter,2011,1,4,no,clear,15.5,47,26,Monday,yes,casual,0
50,1/3/2011,winter,2011,1,4,no,clear,15.5,47,26,Monday,yes,registered,1
51,1/3/2011,winter,2011,1,5,no,clear,15.5,47,19,Monday,yes,casual,0
51,1/3/2011,winter,2011,1,5,no,clear,15.5,47,19,Monday,yes,registered,3
52,1/3/2011,winter,2011,1,6,no,clear,14.6,50,26,Monday,yes,casual,0
52,1/3/2011,winter,2011,1,6,no,clear,14.6,50,26,Monday,yes,registered,30
53,1/3/2011,winter,2011,1,7,no,clear,14.6,50,13,Monday,yes,casual,1
53,1/3/2011,winter,2011,1,7,no,clear,14.6,50,13,Monday,yes,registered,63
54,1/3/2011,winter,2011,1,8,no,clear,14.6,50,19,Monday,yes,casual,1
54,1/3/2011,winter,2011,1,8,no,clear,14.6,50,19,Monday,yes,registered,153
55,1/3/2011,winter,2011,1,9,no,clear,15.5,43,26,Monday,yes,casual,7
55,1/3/2011,winter,2011,1,9,no,clear,15.5,43,26,Monday,yes,registered,81
56,1/3/2011,winter,2011,1,10,no,clear,16.5,43,17,Monday,yes,casual,11
56,1/3/2011,winter,2011,1,10,no,clear,16.5,43,17,Monday,yes,registered,33
57,1/3/2011,winter,2011,1,11,no,clear,17.4,40,22,Monday,yes,casual,10
57,1/3/2011,winter,2011,1,11,no,clear,17.4,40,22,Monday,yes,registered,41
58,1/3/2011,winter,2011,1,12,no,clear,18.3,35,20,Monday,yes,casual,13
58,1/3/2011,winter,2011,1,12,no,clear,18.3,35,20,Monday,yes,registered,48
59,1/3/2011,winter,2011,1,13,no,clear,19.3,35,19,Monday,yes,casual,8
59,1/3/2011,winter,2011,1,13,no,clear,19.3,35,19,Monday,yes,registered,53
60,1/3/2011,winter,2011,1,14,no,clear,20.2,30,19,Monday,yes,casual,11
60,1/3/2011,winter,2011,1,14,no,clear,20.2,30,19,Monday,yes,registered,66
61,1/3/2011,winter,2011,1,15,no,clear,20.2,30,17,Monday,yes,casual,14
61,1/3/2011,winter,2011,1,15,no,clear,20.2,30,17,Monday,yes,registered,58
62,1/3/2011,winter,2011,1,16,no,clear,20.2,30,17,Monday,yes,casual,9
62,1/3/2011,winter,2011,1,16,no,clear,20.2,30,17,Monday,yes,registered,67
63,1/3/2011,winter,2011,1,17,no,clear,19.3,30,15,Monday,yes,casual,11
63,1/3/2011,winter,2011,1,17,no,clear,19.3,30,15,Monday,yes,registered,146
64,1/3/2011,winter,2011,1,18,no,clear,19.3,32,7,Monday,yes,casual,9
64,1/3/2011,winter,2011,1,18,no,clear,19.3,32,7,Monday,yes,registered,148
65,1/3/2011,winter,2011,1,19,no,clear,17.4,47,0,Monday,yes,casual,8
65,1/3/2011,winter,2011,1,19,no,clear,17.4,47,0,Monday,yes,registered,102
66,1/3/2011,winter,2011,1,20,no,clear,17.4,47,7,Monday,yes,casual,3
66,1/3/2011,winter,2011,1,20,no,clear,17.4,47,7,Monday,yes,registered,49
67,1/3/2011,winter,2011,1,21,no,clear,16.5,64,9,Monday,yes,casual,3
67,1/3/2011,winter,2011,1,21,no,clear,16.5,64,9,Monday,yes,registered,49
68,1/3/2011,winter,2011,1,22,no,clear,14.6,69,9,Monday,yes,casual,0
68,1/3/2011,winter,2011,1,22,no,clear,14.6,69,9,Monday,yes,registered,20
69,1/3/2011,winter,2011,1,23,no,clear,16.5,55,7,Monday,yes,casual,1
69,1/3/2011,winter,2011,1,23,no,clear,16.5,55,7,Monday,yes,registered,11
70,1/4/2011,winter,2011,1,0,no,clear,15.5,55,7,Tuesday,yes,casual,0
70,1/4/2011,winter,2011,1,0,no,clear,15.5,55,7,Tuesday,yes,registered,5
71,1/4/2011,winter,2011,1,1,no,clear,15.5,59,7,Tuesday,yes,casual,0
71,1/4/2011,winter,2011,1,1,no,clear,15.5,59,7,Tuesday,yes,registered,2
72,1/4/2011,winter,2011,1,2,no,clear,14.6,63,9,Tuesday,yes,casual,0
72,1/4/2011,winter,2011,1,2,no,clear,14.6,63,9,Tuesday,yes,registered,1
73,1/4/2011,winter,2011,1,4,no,clear,14.6,63,6,Tuesday,yes,casual,0
73,1/4/2011,winter,2011,1,4,no,clear,14.6,63,6,Tuesday,yes,registered,2
74,1/4/2011,winter,2011,1,5,no,clear,13.6,68,7,Tuesday,yes,casual,0
74,1/4/2011,winter,2011,1,5,no,clear,13.6,68,7,Tuesday,yes,registered,4
75,1/4/2011,winter,2011,1,6,no,clear,13.6,74,7,Tuesday,yes,casual,0
75,1/4/2011,winter,2011,1,6,no,clear,13.6,74,7,Tuesday,yes,registered,36
76,1/4/2011,winter,2011,1,7,no,clear,13.6,74,9,Tuesday,yes,casual,2
76,1/4/2011,winter,2011,1,7,no,clear,13.6,74,9,Tuesday,yes,registered,92
77,1/4/2011,winter,2011,1,8,no,clear,14.6,69,11,Tuesday,yes,casual,2
77,1/4/2011,winter,2011,1,8,no,clear,14.6,69,11,Tuesday,yes,registered,177
78,1/4/2011,winter,2011,1,9,no,clear,15.5,64,15,Tuesday,yes,casual,2
78,1/4/2011,winter,2011,1,9,no,clear,15.5,64,15,Tuesday,yes,registered,98
79,1/4/2011,winter,2011,1,10,no,misty,15.5,69,22,Tuesday,yes,casual,5
79,1/4/2011,winter,2011,1,10,no,misty,15.5,69,22,Tuesday,yes,registered,37
80,1/4/2011,winter,2011,1,11,no,clear,18.3,51,20,Tuesday,yes,casual,7
80,1/4/2011,winter,2011,1,11,no,clear,18.3,51,20,Tuesday,yes,registered,50
81,1/4/2011,winter,2011,1,12,no,clear,18.3,51,11,Tuesday,yes,casual,12
81,1/4/2011,winter,2011,1,12,no,clear,18.3,51,11,Tuesday,yes,registered,66
82,1/4/2011,winter,2011,1,13,no,clear,19.3,56,13,Tuesday,yes,casual,18
82,1/4/2011,winter,2011,1,13,no,clear,19.3,56,13,Tuesday,yes,registered,79
83,1/4/2011,winter,2011,1,14,no,clear,20.2,52,15,Tuesday,yes,casual,9
83,1/4/2011,winter,2011,1,14,no,clear,20.2,52,15,Tuesday,yes,registered,54
84,1/4/2011,winter,2011,1,15,no,clear,21.2,52,17,Tuesday,yes,casual,17
84,1/4/2011,winter,2011,1,15,no,clear,21.2,52,17,Tuesday,yes,registered,48
85,1/4/2011,winter,2011,1,16,no,clear,22.1,49,17,Tuesday,yes,casual,15
85,1/4/2011,winter,2011,1,16,no,clear,22.1,49,17,Tuesday,yes,registered,68
86,1/4/2011,winter,2011,1,17,no,clear,21.2,48,15,Tuesday,yes,casual,10
86,1/4/2011,winter,2011,1,17,no,clear,21.2,48,15,Tuesday,yes,registered,202
87,1/4/2011,winter,2011,1,18,no,clear,20.2,48,13,Tuesday,yes,casual,3
87,1/4/2011,winter,2011,1,18,no,clear,20.2,48,13,Tuesday,yes,registered,179
88,1/4/2011,winter,2011,1,19,no,clear,19.3,48,7,Tuesday,yes,casual,2
88,1/4/2011,winter,2011,1,19,no,clear,19.3,48,7,Tuesday,yes,registered,110
89,1/4/2011,winter,2011,1,20,no,clear,19.3,48,7,Tuesday,yes,casual,1
89,1/4/2011,winter,2011,1,20,no,clear,19.3,48,7,Tuesday,yes,registered,53
90,1/4/2011,winter,2011,1,21,no,clear,18.3,64,0,Tuesday,yes,casual,0
90,1/4/2011,winter,2011,1,21,no,clear,18.3,64,0,Tuesday,yes,registered,48
91,1/4/2011,winter,2011,1,22,no,clear,18.3,64,6,Tuesday,yes,casual,1
91,1/4/2011,winter,2011,1,22,no,clear,18.3,64,6,Tuesday,yes,registered,34
92,1/4/2011,winter,2011,1,23,no,clear,17.4,69,6,Tuesday,yes,casual,2
92,1/4/2011,winter,2011,1,23,no,clear,17.4,69,6,Tuesday,yes,registered,9
93,1/5/2011,winter,2011,1,0,no,clear,17.4,64,0,Wednesday,yes,casual,0
93,1/5/2011,winter,2011,1,0,no,clear,17.4,64,0,Wednesday,yes,registered,6
94,1/5/2011,winter,2011,1,1,no,clear,15.5,74,6,Wednesday,yes,casual,0
94,1/5/2011,winter,2011,1,1,no,clear,15.5,74,6,Wednesday,yes,registered,6
95,1/5/2011,winter,2011,1,2,no,clear,15.5,74,6,Wednesday,yes,casual,0
95,1/5/2011,winter,2011,1,2,no,clear,15.5,74,6,Wednesday,yes,registered,2
96,1/5/2011,winter,2011,1,4,no,clear,19.3,48,15,Wednesday,yes,casual,0
96,1/5/2011,winter,2011,1,4,no,clear,19.3,48,15,Wednesday,yes,registered,2
97,1/5/2011,winter,2011,1,5,no,clear,18.3,47,11,Wednesday,yes,casual,0
97,1/5/2011,winter,2011,1,5,no,clear,18.3,47,11,Wednesday,yes,registered,3
98,1/5/2011,winter,2011,1,6,no,clear,17.4,47,15,Wednesday,yes,casual,0
98,1/5/2011,winter,2011,1,6,no,clear,17.4,47,15,Wednesday,yes,registered,33
99,1/5/2011,winter,2011,1,7,no,clear,16.5,43,13,Wednesday,yes,casual,1
99,1/5/2011,winter,2011,1,7,no,clear,16.5,43,13,Wednesday,yes,registered,87
100,1/5/2011,winter,2011,1,8,no,clear,17.4,40,20,Wednesday,yes,casual,3
100,1/5/2011,winter,2011,1,8,no,clear,17.4,40,20,Wednesday,yes,registered,192
101,1/5/2011,winter,2011,1,9,no,clear,18.3,37,22,Wednesday,yes,casual,6
101,1/5/2011,winter,2011,1,9,no,clear,18.3,37,22,Wednesday,yes,registered,109
102,1/5/2011,winter,2011,1,10,no,clear,18.3,37,22,Wednesday,yes,casual,4
102,1/5/2011,winter,2011,1,10,no,clear,18.3,37,22,Wednesday,yes,registered,53
103,1/5/2011,winter,2011,1,11,no,clear,20.2,33,22,Wednesday,yes,casual,12
103,1/5/2011,winter,2011,1,11,no,clear,20.2,33,22,Wednesday,yes,registered,34
104,1/5/2011,winter,2011,1,12,no,clear,20.2,33,22,Wednesday,yes,casual,5
104,1/5/2011,winter,2011,1,12,no,clear,20.2,33,22,Wednesday,yes,registered,74
105,1/5/2011,winter,2011,1,13,no,clear,21.2,30,20,Wednesday,yes,casual,6
105,1/5/2011,winter,2011,1,13,no,clear,21.2,30,20,Wednesday,yes,registered,65
106,1/5/2011,winter,2011,1,14,no,clear,22.1,28,13,Wednesday,yes,casual,10
106,1/5/2011,winter,2011,1,14,no,clear,22.1,28,13,Wednesday,yes,registered,52
107,1/5/2011,winter,2011,1,15,no,clear,22.1,28,13,Wednesday,yes,casual,7
107,1/5/2011,winter,2011,1,15,no,clear,22.1,28,13,Wednesday,yes,registered,55
108,1/5/2011,winter,2011,1,16,no,clear,22.1,28,6,Wednesday,yes,casual,4
108,1/5/2011,winter,2011,1,16,no,clear,22.1,28,6,Wednesday,yes,registered,85
109,1/5/2011,winter,2011,1,17,no,clear,19.3,38,13,Wednesday,yes,casual,4
109,1/5/2011,winter,2011,1,17,no,clear,19.3,38,13,Wednesday,yes,registered,186
110,1/5/2011,winter,2011,1,18,no,clear,19.3,38,9,Wednesday,yes,casual,3
110,1/5/2011,winter,2011,1,18,no,clear,19.3,38,9,Wednesday,yes,registered,166
111,1/5/2011,winter,2011,1,19,no,clear,19.3,38,7,Wednesday,yes,casual,5
111,1/5/2011,winter,2011,1,19,no,clear,19.3,38,7,Wednesday,yes,registered,127
112,1/5/2011,winter,2011,1,20,no,clear,18.3,47,11,Wednesday,yes,casual,7
112,1/5/2011,winter,2011,1,20,no,clear,18.3,47,11,Wednesday,yes,registered,82
113,1/5/2011,winter,2011,1,21,no,clear,17.4,51,13,Wednesday,yes,casual,3
113,1/5/2011,winter,2011,1,21,no,clear,17.4,51,13,Wednesday,yes,registered,40
114,1/5/2011,winter,2011,1,22,no,clear,16.5,55,9,Wednesday,yes,casual,1
114,1/5/2011,winter,2011,1,22,no,clear,16.5,55,9,Wednesday,yes,registered,41
115,1/5/2011,winter,2011,1,23,no,clear,17.4,47,0,Wednesday,yes,casual,1
115,1/5/2011,winter,2011,1,23,no,clear,17.4,47,0,Wednesday,yes,registered,18
116,1/6/2011,winter,2011,1,0,no,clear,16.5,55,0,Thursday,yes,casual,0
116,1/6/2011,winter,2011,1,0,no,clear,16.5,55,0,Thursday,yes,registered,11
117,1/6/2011,winter,2011,1,1,no,clear,15.5,64,0,Thursday,yes,casual,0
117,1/6/2011,winter,2011,1,1,no,clear,15.5,64,0,Thursday,yes,registered,4
118,1/6/2011,winter,2011,1,2,no,clear,15.5,64,0,Thursday,yes,casual,0
118,1/6/2011,winter,2011,1,2,no,clear,15.5,64,0,Thursday,yes,registered,2
119,1/6/2011,winter,2011,1,4,no,misty,15.5,64,6,Thursday,yes,casual,0
119,1/6/2011,winter,2011,1,4,no,misty,15.5,64,6,Thursday,yes,registered,1
120,1/6/2011,winter,2011,1,5,no,misty,14.6,69,6,Thursday,yes,casual,0
120,1/6/2011,winter,2011,1,5,no,misty,14.6,69,6,Thursday,yes,registered,4
121,1/6/2011,winter,2011,1,6,no,misty,14.6,63,7,Thursday,yes,casual,0
121,1/6/2011,winter,2011,1,6,no,misty,14.6,63,7,Thursday,yes,registered,36
122,1/6/2011,winter,2011,1,7,no,misty,15.5,59,0,Thursday,yes,casual,0
122,1/6/2011,winter,2011,1,7,no,misty,15.5,59,0,Thursday,yes,registered,95
123,1/6/2011,winter,2011,1,8,no,clear,15.5,59,0,Thursday,yes,casual,3
123,1/6/2011,winter,2011,1,8,no,clear,15.5,59,0,Thursday,yes,registered,216
124,1/6/2011,winter,2011,1,9,no,misty,16.5,51,0,Thursday,yes,casual,6
124,1/6/2011,winter,2011,1,9,no,misty,16.5,51,0,Thursday,yes,registered,116
125,1/6/2011,winter,2011,1,10,no,clear,17.4,47,0,Thursday,yes,casual,3
125,1/6/2011,winter,2011,1,10,no,clear,17.4,47,0,Thursday,yes,registered,42
126,1/6/2011,winter,2011,1,11,no,clear,18.3,44,6,Thursday,yes,casual,2
126,1/6/2011,winter,2011,1,11,no,clear,18.3,44,6,Thursday,yes,registered,57
127,1/6/2011,winter,2011,1,12,no,clear,20.2,35,0,Thursday,yes,casual,6
127,1/6/2011,winter,2011,1,12,no,clear,20.2,35,0,Thursday,yes,registered,78
128,1/6/2011,winter,2011,1,13,no,clear,20.2,35,7,Thursday,yes,casual,12
128,1/6/2011,winter,2011,1,13,no,clear,20.2,35,7,Thursday,yes,registered,55
129,1/6/2011,winter,2011,1,14,no,clear,21.2,36,11,Thursday,yes,casual,11
129,1/6/2011,winter,2011,1,14,no,clear,21.2,36,11,Thursday,yes,registered,59
130,1/6/2011,winter,2011,1,15,no,clear,21.2,36,0,Thursday,yes,casual,8
130,1/6/2011,winter,2011,1,15,no,clear,21.2,36,0,Thursday,yes,registered,54
131,1/6/2011,winter,2011,1,16,no,clear,20.2,38,11,Thursday,yes,casual,12
131,1/6/2011,winter,2011,1,16,no,clear,20.2,38,11,Thursday,yes,registered,74
132,1/6/2011,winter,2011,1,17,no,clear,18.3,51,11,Thursday,yes,casual,9
132,1/6/2011,winter,2011,1,17,no,clear,18.3,51,11,Thursday,yes,registered,163
133,1/6/2011,winter,2011,1,18,no,clear,18.3,51,9,Thursday,yes,casual,5
133,1/6/2011,winter,2011,1,18,no,clear,18.3,51,9,Thursday,yes,registered,158
134,1/6/2011,winter,2011,1,19,no,clear,18.3,55,6,Thursday,yes,casual,3
134,1/6/2011,winter,2011,1,19,no,clear,18.3,55,6,Thursday,yes,registered,109
135,1/6/2011,winter,2011,1,20,no,clear,17.4,51,11,Thursday,yes,casual,3
135,1/6/2011,winter,2011,1,20,no,clear,17.4,51,11,Thursday,yes,registered,66
136,1/6/2011,winter,2011,1,21,no,misty,18.3,55,15,Thursday,yes,casual,0
136,1/6/2011,winter,2011,1,21,no,misty,18.3,55,15,Thursday,yes,registered,48
137,1/6/2011,winter,2011,1,22,no,misty,18.3,51,19,Thursday,yes,casual,1
137,1/6/2011,winter,2011,1,22,no,misty,18.3,51,19,Thursday,yes,registered,51
138,1/6/2011,winter,2011,1,23,no,misty,17.4,59,13,Thursday,yes,casual,4
138,1/6/2011,winter,2011,1,23,no,misty,17.4,59,13,Thursday,yes,registered,19
139,1/7/2011,winter,2011,1,0,no,misty,17.4,64,13,Friday,yes,casual,4
139,1/7/2011,winter,2011,1,0,no,misty,17.4,64,13,Friday,yes,registered,13
140,1/7/2011,winter,2011,1,1,no,misty,17.4,69,15,Friday,yes,casual,2
140,1/7/2011,winter,2011,1,1,no,misty,17.4,69,15,Friday,yes,registered,5
141,1/7/2011,winter,2011,1,2,no,misty,17.4,69,15,Friday,yes,casual,0
141,1/7/2011,winter,2011,1,2,no,misty,17.4,69,15,Friday,yes,registered,1
142,1/7/2011,winter,2011,1,4,no,misty,17.4,69,9,Friday,yes,casual,0
142,1/7/2011,winter,2011,1,4,no,misty,17.4,69,9,Friday,yes,registered,1
143,1/7/2011,winter,2011,1,5,no,light rain,18.3,55,0,Friday,yes,casual,0
143,1/7/2011,winter,2011,1,5,no,light rain,18.3,55,0,Friday,yes,registered,5
144,1/7/2011,winter,2011,1,6,no,misty,17.4,69,0,Friday,yes,casual,8
144,1/7/2011,winter,2011,1,6,no,misty,17.4,69,0,Friday,yes,registered,26
145,1/7/2011,winter,2011,1,7,no,clear,17.4,69,9,Friday,yes,casual,8
145,1/7/2011,winter,2011,1,7,no,clear,17.4,69,9,Friday,yes,registered,76
146,1/7/2011,winter,2011,1,8,no,clear,17.4,51,17,Friday,yes,casual,20
146,1/7/2011,winter,2011,1,8,no,clear,17.4,51,17,Friday,yes,registered,190
147,1/7/2011,winter,2011,1,9,no,clear,17.4,47,20,Friday,yes,casual,9
147,1/7/2011,winter,2011,1,9,no,clear,17.4,47,20,Friday,yes,registered,125
148,1/7/2011,winter,2011,1,10,no,clear,18.3,37,22,Friday,yes,casual,16
148,1/7/2011,winter,2011,1,10,no,clear,18.3,37,22,Friday,yes,registered,47
149,1/7/2011,winter,2011,1,11,no,misty,17.4,40,15,Friday,yes,casual,19
149,1/7/2011,winter,2011,1,11,no,misty,17.4,40,15,Friday,yes,registered,48
150,1/7/2011,winter,2011,1,12,no,misty,17.4,37,17,Friday,yes,casual,9
150,1/7/2011,winter,2011,1,12,no,misty,17.4,37,17,Friday,yes,registered,50
151,1/7/2011,winter,2011,1,13,no,misty,17.4,37,19,Friday,yes,casual,9
151,1/7/2011,winter,2011,1,13,no,misty,17.4,37,19,Friday,yes,registered,64
152,1/7/2011,winter,2011,1,14,no,misty,17.4,40,17,Friday,yes,casual,7
152,1/7/2011,winter,2011,1,14,no,misty,17.4,40,17,Friday,yes,registered,43
153,1/7/2011,winter,2011,1,15,no,misty,17.4,37,11,Friday,yes,casual,9
153,1/7/2011,winter,2011,1,15,no,misty,17.4,37,11,Friday,yes,registered,63
154,1/7/2011,winter,2011,1,16,no,misty,17.4,37,11,Friday,yes,casual,5
154,1/7/2011,winter,2011,1,16,no,misty,17.4,37,11,Friday,yes,registered,82
155,1/7/2011,winter,2011,1,17,no,misty,17.4,37,0,Friday,yes,casual,9
155,1/7/2011,winter,2011,1,17,no,misty,17.4,37,0,Friday,yes,registered,178
